"Ref","Crop","Croptype","YieldType","MeanCropYield","BC_AppRate","Inorg_N_AppRate","pH_soil","CEC","SOC","Sand","Silt","Clay","Texture","Feedstock","HTT","BC_percentC","pH_BC","Year","lat","lon","RR","YieldRatio","RelativeYieldIncrease","pot.trial"
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Biomass",,97.034,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.143,0.867,-0.133,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Grain",,48.517,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.115,0.891,-0.109,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Grain",,97.034,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.079,0.924,-0.076,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Biomass",,145.551,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.069,0.933,-0.067,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Grain",,145.551,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.067,0.935,-0.065,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Biomass",,48.517,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.029,0.971,-0.029,1
"(Arif et al. 2012)","Maize","cereal","Biomass",5.5,30,0,"NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.038,1.039,0.039,0
"(Arif et al. 2012)","Maize","cereal","Biomass",5.5,30,150,"NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.048,1.049,0.049,0
"(Arif et al. 2012)","Maize","cereal","Grain",5.5,30,150,"NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.054,1.055,0.055,0
"(Arif et al. 2012)","Maize","cereal","Biomass",5.5,30,"NA","NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.087,1.091,0.091,0
"(Arif et al. 2012)","Maize","cereal","Grain",5.5,30,0,"NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.156,1.168,0.168,0
"(Arif et al. 2012)","Maize","cereal","Grain",5.5,30,"NA","NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.285,1.33,0.33,0
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,80,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,32.2,-112,-0.385,0.68,-0.32,1
"(Artiola et al. 2012)","Bermuda grass","grass","Biomass",,80,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,32.2,-112,0,1,0,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,40,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,32.2,-112,0.138,1.147,0.147,1
"(Artiola et al. 2012)","Bermuda grass","grass","Biomass",,40,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,32.2,-112,0.164,1.179,0.179,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,40,0,8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",2,32.2,-112,0.408,1.504,0.504,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,40,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",3,32.2,-112,0.432,1.54,0.54,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,80,0,8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",2,32.2,-112,0.452,1.572,0.572,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,80,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",3,32.2,-112,0.875,2.399,1.399,1
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.336,0.714,-0.286,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.31,0.733,-0.267,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.266,0.767,-0.233,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,0,7.7,24,28,0.17,0.43,0.4,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.201,0.818,-0.182,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.118,0.889,-0.111,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.111,0.895,-0.105,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,0,6.8,15,22,0.29,0.41,0.3,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.111,0.895,-0.105,0
"(Asai et al. 2009)","Rice","cereal","Grain",,8,0,7.1,16,14,0.21,0.34,0.45,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.11,0.896,-0.104,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.105,0.9,-0.1,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.054,0.947,-0.053,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.036,0.964,-0.036,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.027,0.974,-0.026,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.019,0.981,-0.019,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.018,0.982,-0.018,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0,1,0,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,0.034,1.035,0.035,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,0.036,1.037,0.037,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,0.051,1.053,0.053,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,0,5.6,18,30,0.54,0.21,0.26,"Medium","Wood","NA",0.87,7.5,1,19.5,102,0.059,1.061,0.061,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,0,5.4,11,13,0.29,0.43,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,0.112,1.119,0.119,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,0,6.2,9,11,0.32,0.39,0.29,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.118,1.125,0.125,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,0.125,1.133,0.133,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.4,23,18,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.134,1.143,0.143,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.134,1.143,0.143,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.134,1.143,0.143,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.164,1.179,0.179,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,0,8.3,15,12,0.32,0.32,0.35,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.201,1.222,0.222,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,0.21,1.233,0.233,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,0.236,1.267,0.267,0
"(Asai et al. 2009)","Rice","cereal","Grain",,8,0,8.3,15,12,0.28,0.35,0.37,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.288,1.333,0.333,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,8.3,15,12,0.32,0.32,0.35,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.318,1.375,0.375,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.357,1.429,0.429,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,8.3,15,12,0.32,0.32,0.35,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.368,1.444,0.444,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,8.3,15,12,0.32,0.32,0.35,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.511,1.667,0.667,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,0.762,2.143,1.143,0
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,120,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",-0.405,0.667,-0.333,1
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,120,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",-0.314,0.731,-0.269,1
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,100,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",-0.214,0.808,-0.192,1
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,100,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",-0.129,0.879,-0.121,1
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,10,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",0.03,1.03,0.03,1
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,10,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",0.038,1.038,0.038,1
"(Baronti et al. 2008)","Maize","cereal","Grain",5.5,10,413,7.1,"NA","NA",0.27,0.58,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",0.052,1.053,0.053,0
"(Baronti et al. 2008)","Wheat","cereal","Grain",,10,114,8,16,"NA",0.35,0.36,0.29,,"Wood",500,"NA",7.2,1,"NA","NA",0.095,1.1,0.1,0
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,30,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",0.192,1.212,0.212,1
"(Baronti et al. 2008)","Wheat","cereal","Biomass",,10,114,8,16,"NA",0.35,0.36,0.29,,"Wood",500,"NA",7.2,1,"NA","NA",0.215,1.24,0.24,0
"(Baronti et al. 2008)","Maize","cereal","Biomass",5.5,10,413,7.1,"NA","NA",0.27,0.58,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",0.223,1.25,0.25,0
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,30,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",0.325,1.385,0.385,1
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,60,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",0.752,2.121,1.121,1
"(Baronti et al. 2008)","Ryegrass","grass","Biomass",,60,"NA",6.7,"NA","NA",0.55,0.3,0.15,,"Wood",500,"NA",7.2,1,"NA","NA",0.885,2.423,1.423,1
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,3,30,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-28.5,115.97,-0.048,0.954,-0.046,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,1.5,55,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-28.5,115.97,-0.003,0.997,-0.003,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,1.5,30,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-28.5,115.97,0.005,1.005,0.005,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,6,55,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-28.5,115.97,0.009,1.009,0.009,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,3,55,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-28.5,115.97,0.053,1.054,0.054,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,3,110,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-30.36,117.12,0.059,1.061,0.061,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,1.5,110,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-30.36,117.12,0.063,1.065,0.065,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,6,110,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-30.36,117.12,0.078,1.081,0.081,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,3,110,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-30.36,117.12,0.082,1.085,0.085,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,6,30,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-28.5,115.97,0.206,1.229,0.229,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,6,100,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-28.5,115.97,0.398,1.489,0.489,0
"(Blackwell et al. 2007)","Wheat","cereal","Grain",,3,100,"NA","NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,-28.5,115.97,0.402,1.495,0.495,0
